DORIS_KEY,DE,CATEGORIZATION,RELIGION,AUTRES,SKIP
698,A NE PLUS UTILISER,,,,1
1,ACID HOUSE,1,,,
2,ACID JAZZ,1,,,
4,ADAPTATION,,,,1
540,AFROBEAT,1,,,
7,AIR,1,,,
8,AIR DE COUR,1,,,
539,AITA,1,,,
9,ALEGRIA,1,,,
10,AMBIENT,1,,,
11,ANABAPTISME,,1,,
12,ANIMISME,,1,,
13,ANTHEM,1,,,
16,ASRI,1,,,
17,AUTRE CROYANCE,,1,,
18,BACHATA,1,,,
19,BAIAO,1,,,
20,BAJOUROU,1,,,
22,BALLET-PANTOMIME,1,,,
23,BAMBA,1,,,
547,BAMBUCO,1,,,
25,BANDE ORIGINALE DE FILM,1,,,
26,BANDE ORIGINALE DE FILM AVEC DIALOGUE,1,,,
693,BANDE ORIGINALE DE JEU VIDEO,1,,,
650,BATUCADA,1,,,
27,BATUQUE,1,,,
28,BAUL,,1,,
29,BE-BOP,1,,,
569,BELAIR,1,,,
30,BENGA,1,,,
31,BERCEUSE,1,,,
32,BHANGRA,1,,,
573,BHARATA NATYAM,1,,,
33,BIG BEAT,1,,,
34,BIGUINE,1,,,
35,BIKUTSI,1,,,
37,BLUEGRASS,1,,,
38,BLUES,1,,,
39,BLUES ACOUSTIQUE,1,,,
40,BLUES ELECTRIQUE,1,,,
41,BLUES ROCK,1,,,
42,BOLERO,1,,,
43,BOMBA,1,,,
44,BON-PO,,1,,
45,BOOGALOO,1,,,
46,BOOGIE WOOGIE,1,,,
47,BOSSA NOVA,1,,,
48,BOSTON (DANSE),1,,,
49,BOUDDHISME,,1,,
50,BOUDDHISME CHINOIS,,1,,
51,BOUDDHISME INDIEN,,1,,
52,BOUDDHISME JAPONAIS,,1,,
53,BOUDDHISME TIBETAIN,,1,,
54,BOURREE,1,,,
56,BRANLE,1,,,
634,BREAKBEAT,1,,,
566,BRIAL,1,,,
57,BRUITAGE,,,,1
59,BULERIA,1,,,
740,BULLERENGUE,1,,,
692,BUNRAKU,1,,,
60,BWITI,,1,,
62,CAJUN,1,,,
63,CAKE WALK,1,,,
64,CALVINISME,,1,,
65,CALYPSO,1,,,
66,CAN-CAN,1,,,
67,CANDOMBE,1,,,
684,CANDOMBLE,,1,,
68,CANTATE,1,,,
69,CANTATE PROFANE,1,,,
70,CANTIQUE,1,,,
71,CANZONE,1,,,
72,CAODAISME,,1,,
545,CAPOEIRA,1,,,
76,CATHARES,,1,,
77,CHA CHA CHA,1,,,
78,CHAABI,1,,,
79,CHACARERA,1,,,
80,CHAMAME,1,,,
81,CHAMANISME,,1,,
82,CHAMPETA,1,,,
546,CHANGUI,1,,,
83,CHANSON,1,,,
84,CHANSON A BOIRE,1,,,
85,CHANSON ANCIENNE,1,,,
86,CHANSON DE COMIQUE TROUPIER,1,,,
537,CHANSON DE GESTE,1,,,
87,CHANSON DE MARIN,1,,,
88,CHANSON DE METIER,1,,,
89,CHANSON DE PRISON,1,,,
90,CHANSON DE ROUTE,1,,,
91,CHANSON DE TAVERNE,1,,,
92,CHANSON D'ETUDIANT,1,,,
94,CHANSON HISTORIQUE,1,,,
95,CHANSON HUMORISTIQUE,1,,,
96,CHANSON LIBERTINE,1,,,
97,CHANSON MILITAIRE,1,,,
98,CHANSON NAPOLITAINE,1,,,
99,CHANSON PATRIOTIQUE,1,,,
100,CHANSON REALISTE,1,,,
101,CHANSON SATIRIQUE,1,,,
712,CHANSON SOCIALE,1,,,
103,CHANT,1,,,
104,CHANT AMBROSIEN,1,,,
688,CHANT BENEVENTAIN,1,,,
105,CHANT DE PROCESSION,1,,,
106,CHANT DE TRAVAIL,1,,,
689,CHANT GALLICAN,1,,,
107,CHANT GREGORIEN,1,,,
108,CHANT MOZARABE,1,,,
109,CHANT QAWWALI,1,,,
110,CHARLESTON,1,,,
111,CHIISME,,1,,
112,CHIMURENGA,1,,,
113,CHORAL,1,,,
114,CHORO,1,,,
115,CHRISTIANISME,,1,,
616,CIRANDA,1,,,
589,COLADEIRA,1,,,
118,COLOMBIANA,1,,,
592,COLUMBIA,1,,,
119,COMEDIE BALLET,1,,,
120,COMEDIE MUSICALE,1,,,
678,COMMUNAUTE DE TAIZE,,1,,
122,COMPAS,1,,,
123,COMPTINE CHANTEE,1,,,
124,COMPTINE PARLEE,1,,,
548,CONFUCIANISME,,1,,
125,CONGA (DANSE),1,,,
126,CONTE,1,,,
127,CONTE MUSICAL,1,,,
587,CONTREDANSE,1,,,
130,COUNTRY,1,,,
131,COUNTRY ROCK,1,,,
132,CSARDAS,1,,,
133,CUECA,1,,,
134,CUMBIA,1,,,
135,DANCE MUSIC,1,,,
669,DANCEHALL,1,,,
136,DANGDUT,1,,,
137,DANSE,1,,,
138,DANSE ORIENTALE,1,,,
139,DANZA,1,,,
140,DANZON,1,,,
703,DASTGAH,1,,,
141,DEATH METAL,1,,,
142,DEEP HOUSE,1,,,
644,DESAFIO,1,,,
615,DHRUPAD,1,,,
143,DISCO,1,,,
649,DISCOURS,,,,1
144,DIXIELAND,1,,,
145,DOCUMENTAIRE,,,,1
713,DOCUMENTS SONORES,,,,1
146,DOINA,1,,,
691,DOMAINE RELIGIEUX,,,,1
635,DOWNTEMPO,1,,,
745,DRAMATIQUE DISQUE,,,,1
148,DRAME LITURGIQUE,1,,,
149,DRAMMA GIOCOSO,1,,,
256,DRUM AND BASS,1,,,
150,DUB,1,,,
151,DUB (REGGAE),1,,,
152,EASY LISTENING,1,,,
153,EGLISE ANGLICANE,,1,,
154,EGLISE BAPTISTE,,1,,
155,EGLISE CATHOLIQUE,,1,,
156,EGLISE CATHOLIQUE ROMAINE,,1,,
711,EGLISE EPISCOPALE,,1,,
687,EGLISE GRECQUE CATHOLIQUE MELKITE,,1,,
157,EGLISE MENNONITE,,1,,
158,EGLISE ORIENTALE,,1,,
159,EGLISE ORIENTALE ARMENIENNE,,1,,
160,EGLISE ORIENTALE BYZANTINE,,1,,
161,EGLISE ORIENTALE CHALDEENNE,,1,,
162,EGLISE ORIENTALE COPTE,,1,,
163,EGLISE ORIENTALE ETHIOPIENNE,,1,,
164,EGLISE ORIENTALE MARONITE,,1,,
165,EGLISE ORIENTALE SYRIAQUE,,1,,
166,EGLISE ORIENTALE SYRIENNE,,1,,
167,EGLISE ORTHODOXE,,1,,
734,EGLISE PRESBYTERIENNE,,1,,
754,ELECTRO JAZZ,1,,,
633,ELECTRONICA,1,,,
168,EMBOLADA,1,,,
533,EMISSION RADIOPHONIQUE,,,,1
169,ENFANT,,,F22 P103 M60 (référentiel en cours...),
170,ENSEIGNEMENT,1,,,
171,ENTRETIEN,,,,1
607,ETHIO-JAZZ,1,,,
174,EVANGELISME,,1,,
175,FADO,1,,,
176,FANBAI,1,,,
177,FANDANGO,1,,,
178,FARANDOLE,1,,,
623,FASIL,1,,,
180,FILM,1,,,
181,FINACON,1,,,
182,FLAMENCO,1,,,
183,FOIRE ET FETE FORAINE,1,,,
184,FOLK,1,,,
185,FOLK ROCK,1,,,
186,FOLKLORE,1,,,
187,FOLKSONG,1,,,
188,FORRO,1,,,
189,FOXTROT,1,,,
190,FREE JAZZ,1,,,
191,FREVO,1,,,
756,FROTTOLE,1,,,
680,FUJI,1,,,
641,FUNANA,1,,,
192,FUNK,1,,,
193,FUNKY,1,,,
194,FUSION,1,,,
648,GAGAKU,1,,,
747,GAITA,1,,,
196,GALOP,1,,,
197,GARAGE (HOUSE),1,,,
198,GARAGE (ROCK),1,,,
673,GATO,1,,,
199,GAVOTTE,1,,,
200,GIGUE,1,,,
201,GOSPEL,1,,,
202,GRANAINA,1,,,
203,GRO-KA,1,,,
204,GRUNGE,1,,,
591,GUAGUANCO,1,,,
205,GUAJIRA,1,,,
206,GUARACHA,1,,,
585,HABANERA,1,,,
207,HARD ROCK,1,,,
576,HARDCORE (HIP HOP),1,,,
208,HARDCORE (ROCK),1,,,
209,HARDCORE (TECHNO),1,,,
210,HASAPIKO,1,,,
211,HAWZI,1,,,
212,HEAVY METAL,1,,,
213,HIGHLIFE,1,,,
214,HILLBILLY,1,,,
215,HINDOUISME,,1,,
216,HIP HOP,1,,,
217,HORA,1,,,
218,HORNPIPE,1,,,
220,HOUSE MUSIC,1,,,
221,HUAYLA,1,,,
222,HUAYNO,1,,,
224,HULLY GULLY,1,,,
225,IMITATION,,,,1
226,IMITATION DE PERSONNALITE,,,,1
227,IMPROVISATION,,,,1
228,INDICATIF,,,,1
230,INTERMEDE,1,,,
746,ISAWIYYA,,1,,
231,ISLAM,,1,,
541,ISMAELISME,,1,,
232,JAINISME,,1,,
677,JANSENISME,,1,,
235,JAVA (DANSE),1,,,
236,JAZZ,1,,,
237,JAZZ AFRO-CUBAIN,1,,,
238,JAZZ BIG BAND,1,,,
239,JAZZ BRESILIEN,1,,,
240,JAZZ FUSION,1,,,
667,JAZZ MANOUCHE,1,,,
241,JAZZ ROCK,1,,,
532,JAZZ SOUDANAIS,1,,,
242,JAZZ SOUL,1,,,
243,JERK,1,,,
244,JEU,1,,,
245,JEU RADIOPHONIQUE,,,,1
246,JIL MUSIC,1,,,
701,JIUTA-MAI,1,,,
249,JODO,,1,,
681,JOIK,1,,,
251,JOROPO,1,,,
651,JOTA,1,,,
252,JUDAISME,,1,,
255,JUJU MUSIC,1,,,
257,KABUKI,1,,,
704,KAGURA,1,,,
579,KAMTOLE,1,,,
258,KANEKA,1,,,
543,KARSILAMA,1,,,
614,KASEKO,1,,,
259,KATHAK,1,,,
561,KAZUKUTA,1,,,
260,KETCHAK,1,,,
627,KRAUTROCK,1,,,
657,KRITI,1,,,
262,KRONCONG,1,,,
560,KUTIYATTAM,1,,,
631,KWELA,1,,,
263,LAMBADA,1,,,
264,LAMBETH WALK,1,,,
265,LATIN JAZZ,1,,,
266,LATIN ROCK,1,,,
267,LATINO,1,,,
755,LAUDE,1,,,
268,LIED,1,,,
269,LIEDERSPIEL,1,,,
270,LIMBO,1,,,
272,LITTERATURE,,,,1
636,LOUNGE,1,,,
273,LUTHERANISME,,1,,
553,MACUMBA,,1,,
274,MADISON,1,,,
275,MADRIGAL,1,,,
624,MAKOM,1,,,
276,MAKOSSA,1,,,
277,MALAGUENA,1,,,
278,MALHUN,1,,,
279,MALOUF,1,,,
280,MALOYA,1,,,
281,MAMBO,1,,,
282,MAQAM IRAKIEN,1,,,
283,MARABI,1,,,
284,MARCHE (DANSE),1,,,
647,MARCHE MILITAIRE,1,,,
285,MARRABENTA,1,,,
559,MARTINETE,1,,,
286,MASHED POTATOES,1,,,
287,MASKANDA,1,,,
288,MASQUE,1,,,
289,MAXIXE,1,,,
290,MAZDEISME,,1,,
291,MAZURKA,1,,,
292,MBALAX,1,,,
293,MBAQANGA,1,,,
608,MBUBE,1,,,
535,MEJORANA,1,,,
630,MEKE,1,,,
294,MELODIE,1,,,
295,MELODRAME,1,,,
593,MENTO,1,,,
296,MERENGUE,1,,,
297,MERINGUE,1,,,
298,MESSE,1,,,
299,METHODISME,,1,,
300,MILONGA,1,,,
301,MINERA,1,,,
718,MIROLOI,1,,,
303,MODINHA,1,,,
304,MORMONS,,1,,
305,MORNA,1,,,
306,MOTET,1,,,
307,MOTET PROFANE,1,,,
714,MOTS OUTILS,,,,1
751,MPB,1,,,
308,MUGAM,1,,,
676,MUINEIRA,1,,,
626,MUQAM,1,,,
309,MUSETTE (GENRE),1,,,
6,MUSIQUE AFRO-CUBAINE,1,,,
311,MUSIQUE ANCIENNE,1,,,
700,MUSIQUE ARABO-ANDALOUSE,1,,,
312,MUSIQUE ASHIQ,1,,,
313,MUSIQUE CARNATIQUE,1,,,
599,MUSIQUE COMPOSEE DANS LE STYLE TRADITIONNEL,1,,,
315,MUSIQUE DE BALLET,1,,,
74,MUSIQUE DE CARNAVAL,1,,,
317,MUSIQUE DE CHAMBRE,1,,,
318,MUSIQUE DE CHAMBRE +,1,,,
319,MUSIQUE DE CHASSE,1,,,
320,MUSIQUE DE CIRQUE,1,,,
323,MUSIQUE DE SCENE,1,,,
324,MUSIQUE DE SPECTACLE,1,,,
744,MUSIQUE DE STEEL BANDS,1,,,
325,MUSIQUE D'HARMONIE,1,,,
326,MUSIQUE ELECTROACOUSTIQUE,1,,,
327,MUSIQUE ELECTRONIQUE,1,,,
328,MUSIQUE ELECTRONIQUE VIVANTE,1,,,
329,MUSIQUE HINDOUSTANIE,1,,,
330,MUSIQUE INSTRUMENTALE,,,,1
707,MUSIQUE JAMAICAINE,1,,,
254,MUSIQUE JUDEO-ARABE,1,,,
715,MUSIQUE JUDEO-ESPAGNOLE,1,,,
332,MUSIQUE KLEZMER,1,,,
333,MUSIQUE LEGERE,1,,,
334,MUSIQUE LYRIQUE,1,,,
335,MUSIQUE MANDINGUE,1,,,
336,MUSIQUE MECANIQUE,1,,,
601,MUSIQUE METISSEE,1,,,
337,MUSIQUE MILITAIRE,1,,,
338,MUSIQUE MIXTE,1,,,
340,MUSIQUE RELIGIEUSE,1,,,
341,MUSIQUE REPETITIVE,1,,,
342,MUSIQUE RITUELLE SACREE,1,,,
654,MUSIQUE RITUELLE SACREE ET RELIGIEUSE,1,,,
344,MUSIQUE SYMPHONIQUE,1,,,
345,MUSIQUE SYMPHONIQUE +,1,,,
347,MUSIQUE TIGRINYA,1,,,
596,MUSIQUE TRADITIONNELLE : DOCUMENT ETHNOMUSICOLOGIQUE,1,,,
598,MUSIQUE TRADITIONNELLE ARRANGEE,1,,,
600,MUSIQUE TRADITIONNELLE METISSEE,1,,,
597,MUSIQUE TRADITIONNELLE SAVANTE,1,,,
348,MUSIQUE VOCALE,,,,1
710,MUSIQUES AFRO-AMERICAINES,1,,,
732,MUSIQUES D'AFRIQUE AUSTRALE ET DE L'OCEAN INDIEN,1,,,
721,MUSIQUES D'AFRIQUE CENTRALE,1,,,
724,MUSIQUES D'AFRIQUE DE L'EST,1,,,
719,MUSIQUES D'AFRIQUE DE L'OUEST,1,,,
727,MUSIQUES D'AMERIQUE DU NORD ET CENTRALE,1,,,
723,MUSIQUES D'AMERIQUE DU SUD,1,,,
733,MUSIQUES D'AUSTRALIE ET OCEANIE,1,,,
720,MUSIQUES DE LA MEDITERRANEE,1,,,
735,MUSIQUES DE L'ORIENT ARABE,1,,,
731,MUSIQUES DE L'ORIENT TURCO PERSAN,1,,,
722,MUSIQUES DES ANTILLES,1,,,
726,MUSIQUES D'EUROPE DE L'OUEST,1,,,
736,MUSIQUES D'EUROPE DU NORD,1,,,
729,MUSIQUES D'EUROPE ORIENTALE ET CONTINENTALE,1,,,
730,MUSIQUES D'EXTREME ORIENT,1,,,
708,MUSIQUES DU MONDE,1,,,
725,MUSIQUES DU SOUS-CONTINENT INDIEN,1,,,
349,MUSIQUES ELECTRONIQUES,1,,,
709,MUSIQUES FONCTIONNELLES,,,,1
555,MUWASHSHAH,1,,,
351,MYSTERE,1,,,
352,NEGRO SPIRITUAL,1,,,
353,NEW AGE,1,,,
354,NEW JACK,1,,,
355,NEW ORLEANS (JAZZ),1,,,
356,NEW WAVE,1,,,
357,NO,1,,,
359,NOUBA,1,,,
632,NU JAZZ,1,,,
586,NUEVA TROVA,1,,,
360,NUEVO FLAMENCO,1,,,
361,NUEVO TANGO,1,,,
363,OECUMENISME,,1,,
534,OEUVRE RADIOPHONIQUE,1,,,
364,OFFICE RELIGIEUX,,,,1
365,ONE STEP,1,,,
366,OPERA,1,,,
367,OPERA COMIQUE,1,,,
368,OPERA DE CHAMBRE,1,,,
369,OPERA ROCK,1,,,
370,OPERA-BALLET,1,,,
371,OPERA-BOUFFE,1,,,
372,OPERA-TANGO,1,,,
373,OPERETTE,1,,,
699,OPERETTE DE SALON,1,,,
374,ORATORIO,1,,,
375,ORATORIO PROFANE,1,,,
376,PACHANGA,1,,,
753,P'ANSORI,1,,,
377,PANTOMIME,1,,,
742,PARRANDA,1,,,
531,PASILLO,1,,,
379,PASO DOBLE,1,,,
380,PASSION,1,,,
381,PASTICCIO,1,,,
382,PASTICHE,1,,,
750,PAVANE,1,,,
383,PENTECOTISME,,1,,
384,PETENERA,1,,,
749,PIVA,1,,,
386,PLAIN-CHANT,1,,,
387,PLENA,1,,,
388,POESIE,,,,1
389,POLKA,1,,,
638,POP,1,,,
391,POP FOLK,1,,,
392,POP ROCK,1,,,
393,PRATIQUE RELIGIEUSE,,,,1
394,PRIERE,,,,1
395,PROTEST SONG,1,,,
396,PROTESTANTISME,,1,,
398,PSAUME,1,,,
399,PUBLICITE,,,,1
400,PUNK,1,,,
613,PUNTA-ROCK,1,,,
401,PUNTO,1,,,
402,QASIDA,1,,,
403,QUADRILLE,1,,,
404,QUAKERS,,1,,
748,QUELBE,1,,,
405,QUICKSTEP,1,,,
406,R&B,1,,,
407,RADIODIFFUSION,,,,1
408,RAGGAMUFFIN,1,,,
409,RAGTIME,1,,,
410,RAI,1,,,
411,RANCHERA,1,,,
652,RAPSO,1,,,
